trial_num,trial_type,looking_time_s,lab,subid,stimulus
4,ADS,2.362,Kizito - Uganda,IDS_031,ADS_2
5,ADS,0.746,Kizito - Uganda,IDS_031,ADS_3
6,IDS,2.81,Kizito - Uganda,IDS_031,IDS_3
7,IDS,3.236,Kizito - Uganda,IDS_031,IDS_4
8,ADS,2.609,Kizito - Uganda,IDS_031,ADS_4
9,ADS,7.839,Kizito - Uganda,IDS_031,ADS_5
-2,training,16.692,Kizito - Uganda,IDS_032,training
-1,training,5.557,Kizito - Uganda,IDS_032,training
1,IDS,13.058,Kizito - Uganda,IDS_032,IDS_1
2,ADS,9.396,Kizito - Uganda,IDS_032,ADS_1
3,IDS,10.282,Kizito - Uganda,IDS_032,IDS_2
4,ADS,4.215,Kizito - Uganda,IDS_032,ADS_2
5,ADS,3.789,Kizito - Uganda,IDS_032,ADS_3
6,IDS,1.96,Kizito - Uganda,IDS_032,IDS_3
7,IDS,4.078,Kizito - Uganda,IDS_032,IDS_4
8,ADS,5.081,Kizito - Uganda,IDS_032,ADS_4
9,ADS,6.582,Kizito - Uganda,IDS_032,ADS_5
-2,training,15.444,Kizito - Uganda,IDS_033,training
-1,training,5.89,Kizito - Uganda,IDS_033,training
1,IDS,5.778,Kizito - Uganda,IDS_033,IDS_1
2,ADS,4.892,Kizito - Uganda,IDS_033,ADS_1
3,IDS,9.39,Kizito - Uganda,IDS_033,IDS_2
4,ADS,10.601,Kizito - Uganda,IDS_033,ADS_2
5,ADS,15.69,Kizito - Uganda,IDS_033,ADS_3
6,IDS,11.723,Kizito - Uganda,IDS_033,IDS_3
7,IDS,15.63,Kizito - Uganda,IDS_033,IDS_4
8,ADS,13.837,Kizito - Uganda,IDS_033,ADS_4
9,ADS,4.225,Kizito - Uganda,IDS_033,ADS_5
10,IDS,15.403,Kizito - Uganda,IDS_033,IDS_5
11,ADS,14.04,Kizito - Uganda,IDS_033,ADS_6
12,IDS,7.669,Kizito - Uganda,IDS_033,IDS_6
13,IDS,8.102,Kizito - Uganda,IDS_033,IDS_7
14,ADS,12.787,Kizito - Uganda,IDS_033,ADS_7
-2,training,12.449,Kizito - Uganda,IDS_034,training
-1,training,9.783,Kizito - Uganda,IDS_034,training
1,IDS,6.754,Kizito - Uganda,IDS_034,IDS_1
2,ADS,9.339,Kizito - Uganda,IDS_034,ADS_1
3,IDS,11.49,Kizito - Uganda,IDS_034,IDS_2
4,ADS,12.624,Kizito - Uganda,IDS_034,ADS_2
5,ADS,6.121,Kizito - Uganda,IDS_034,ADS_3
6,IDS,12.886,Kizito - Uganda,IDS_034,IDS_3
7,IDS,3.823,Kizito - Uganda,IDS_034,IDS_4
8,ADS,12.782,Kizito - Uganda,IDS_034,ADS_4
9,ADS,13.646,Kizito - Uganda,IDS_034,ADS_5
10,IDS,13.267,Kizito - Uganda,IDS_034,IDS_5
11,ADS,5.137,Kizito - Uganda,IDS_034,ADS_6
12,IDS,13.399,Kizito - Uganda,IDS_034,IDS_6
13,IDS,11.812,Kizito - Uganda,IDS_034,IDS_7
14,ADS,13.447,Kizito - Uganda,IDS_034,ADS_7
-2,training,15.341,Kizito - Uganda,IDS_035,training
-1,training,7.346,Kizito - Uganda,IDS_035,training
1,IDS,15.345,Kizito - Uganda,IDS_035,IDS_1
2,ADS,9.217,Kizito - Uganda,IDS_035,ADS_1
3,IDS,9.423,Kizito - Uganda,IDS_035,IDS_2
4,ADS,7.011,Kizito - Uganda,IDS_035,ADS_2
5,ADS,6.707,Kizito - Uganda,IDS_035,ADS_3
6,IDS,7.002,Kizito - Uganda,IDS_035,IDS_3
7,IDS,5.277,Kizito - Uganda,IDS_035,IDS_4
8,ADS,2.208,Kizito - Uganda,IDS_035,ADS_4
9,ADS,1.78,Kizito - Uganda,IDS_035,ADS_5
-2,training,12.961,Kizito - Uganda,IDS_037,training
-1,training,10.333,Kizito - Uganda,IDS_037,training
1,ADS,6.112,Kizito - Uganda,IDS_037,ADS_1
2,ADS,13.169,Kizito - Uganda,IDS_037,ADS_2
3,ADS,10.625,Kizito - Uganda,IDS_037,ADS_3
4,ADS,12.041,Kizito - Uganda,IDS_037,ADS_4
5,ADS,5.784,Kizito - Uganda,IDS_037,ADS_5
6,ADS,5.093,Kizito - Uganda,IDS_037,ADS_6
7,ADS,3.95,Kizito - Uganda,IDS_037,ADS_7
-1,training,10.304,Kizito - Uganda,IDS_039,training
1,ADS,14.53,Kizito - Uganda,IDS_039,ADS_1
