Name,Project,🌍 Country,🏫 Primary Affiliation,🏫 Secondary Affiliation(s),🟢 ORCiD,Conceptualization,Formal analysis,Investigation,Methodology,Project administration,Writing - original draft,Writing - review & editing,LabID,Leadership Role(s),📚 Projects
Anna Gupta,MB1,The Netherlands,Leiden University,,,,,Leading,,,,,,,MB1
Anna S. Trøan,MB1,Norway,University of Oslo,,,,,Leading,,,,,,,MB1
Anna Theakston,MB1,United Kingdom,University of Manchester,,https://orcid.org/0000-0002-9483-7893,,,Leading,,,,,childlabManchester,,MB1
Arielle Borovsky,MB1,United States,Purdue University,,,,,Leading,,,,,lcdFSU,,"MB1,MB5"
Ayumi Sato,MB1,Japan,Shimane University,,,,,Leading,,,,,babylabShimane,,MB1
Barbara Höhle,MB1,Germany,University of Potsdam,,https://orcid.org/0000-0002-9240-6117,,,Leading,,,,,babylabPotsdam,,MB1
Barbora Skarabela,MB1,United Kingdom,University of Edinburgh,,https://orcid.org/0000-0001-9344-349X,,,Leading,,,,,weescienceEdinburgh,,"MB1,MB1L"
Benjamin Morris,MB1,United States,University of Chicago,,,,,Leading,,,,,,,MB1
Bettina Braun,MB1,Germany,University of Konstanz,,https://orcid.org/0000-0002-7696-3255,,,Leading,,,,,babylabKonstanz,,"MB-AtHome,MB1"
Brock Ferguson,MB1,United States,Strong Analytics,,,Leading,,,Leading,,,,,,MB1
Cara Cashon,MB1,United States,University of Louisville,,https://orcid.org/0000-0001-8652-3264,,,Leading,,,,,infantcoglabLouisville,,"MB1,MB1L,MB5"
Carolina Pletti,MB1,Germany,Ludwig-Maximilians-Universität München,,,,,Leading,,,,,babylabLMU,,MB1
Caroline Floccia,MB1,United Kingdom,University of Plymouth,,,,,Leading,Leading,,Leading,,babylabPlymouth,,"MB1,MB1L"
Caroline Junge,MB1,The Netherlands,Utrecht University,,https://orcid.org/0000-0001-9876-8058,,,Leading,,,,,"babylabUtrecht,dutchbabylabs (NEED TO UPDATE)",,"MB-AtHome,MB1,MB1N"
